,0
1142,NJ
1143,FL
1144,FL
1145,MS
1146,NY
1147,VA
1148,CA
1149,CT
1150,CA
1151,IL
1152,OH
1153,CA
1154,TX
1155,AZ
1156,TX
1157,MI
1158,NY
1159,KY
1160,IN
1161,CA
1162,TX
1163,CA
1164,IL
1165,CA
1166,HI
1167,OH
1168,MO
1169,CA
1170,PA
1171,TX
1172,NC
1173,TX
1174,MI
1175,FL
1176,TX
1177,NY
1178,PA
1179,TX
1180,VA
1181,CA
1182,CA
1183,TX
1184,TX
1185,IL
1186,AZ
1187,NC
1188,IL
1189,CA
1190,WA
1191,NJ
1192,MA
1193,TX
1194,TX
1195,PA
1196,TX
1197,OH
1198,CA
1199,NY
1200,TX
1201,NY
1202,TX
1203,TX
1204,AZ
1205,PA
1206,VA
1207,CA
1208,CA
1209,IN
1210,CA
1211,NY
1212,TX
1213,MA
1214,TX
1215,NV
1216,TX
1217,NY
1218,CA
1219,AL
1220,PA
1221,CA
1222,CT
1223,NY
1224,IL
1225,OH
1226,MO
1227,CA
1228,CA
1229,WI
1230,FL
1231,MD
1232,MD
1233,MD
1234,NV
1235,TX
1236,NY
1237,CA
1238,MN
1239,NJ
1240,WA
1241,TX
1242,TX
1243,MA
1244,CA
1245,FL
1246,AR
1247,NC
1248,TX
1249,TX
1250,GA
1251,IN
1252,OR
1253,NC
1254,FL
1255,TX
1256,FL
1257,FL
1258,OH
1259,MD
1260,MD
1261,NC
1262,CA
1263,OH
1264,MA
1265,FL
1266,NY
1267,FL
1268,WA
1269,MD
1270,MD
1271,TX
1272,NY
1273,FL
1274,TX
1275,MN
1276,RI
1277,TX
1278,TX
1279,LA
1280,LA
1281,CA
1282,PA
1283,TX
1284,NJ
1285,TX
1286,MI
1287,NY
1288,TN
1289,CA
1290,VA
1291,CA
1292,CA
1293,IN
1294,MN
1295,PA
1296,PA
1297,PA
1298,PA
1299,TX
1300,TX
1301,MI
1302,KS
1303,PA
1304,CA
1305,OK
1306,GA
1307,TX
1308,PA
1309,PA
1310,CA
1311,SC
1312,TX
1313,AL
1314,TX
1315,TX
1316,IL
1317,UT
1318,NJ
1319,FL
1320,GA
1321,CA
1322,SD
1323,TX
1324,CA
1325,CO
1326,TX
1327,TX
1328,CA
1329,MA
1330,DE
1331,TX
1332,NY
1333,AZ
1334,OH
1335,IL
1336,CA
1337,AZ
1338,CO
1339,WA
1340,TX
1341,CO
1342,OK
1343,CA
1344,FL
1345,AR
1346,FL
1347,KY
1348,CO
1349,NJ
1350,IL
1351,MO
1352,CO
1353,NJ
1354,CA
1355,AZ
1356,PA
1357,TX
1358,TN
1359,TX
1360,TX
1361,CO
1362,NY
1363,FL
1364,IL
1365,CA
1366,AR
1367,CA
1368,AZ
1369,TX
1370,NV
1371,TN
1372,FL
1373,MN
1374,PA
1375,OK
1376,PA
1377,WA
1378,OK
1379,IN
1380,MA
1381,CA
1382,NV
1383,CA
1384,AZ
1385,NV
1386,NC
1387,MI
1388,CA
1389,NC
1390,MI
1391,CA
1392,CA
1393,NY
1394,FL
1395,LA
1396,UT
1397,NY
1398,TX
1399,MS
1400,CT
1401,AZ
1402,CA
1403,TN
1404,CA
1405,TX
1406,TX
1407,OR
1408,TX
1409,OH
1410,CO
1411,IN
1412,MI
1413,MN
1414,OK
1415,NV
1416,NY
1417,TX
1418,WA
1419,TN
1420,NJ
1421,TX
1422,NC
1423,MO
1424,MA
1425,NJ
1426,PA
1427,CA
1428,KS
1429,NY
1430,TX
1431,WI
1432,CA
1433,FL
1434,NV
1435,CA
1436,VA
1437,TX
1438,NC
1439,NC
1440,NY
1441,WA
1442,CA
1443,AK
1444,CA
1445,CA
1446,TX
1447,TX
1448,TX
1449,TX
1450,IL
1451,CA
1452,CA
1453,AZ
1454,TX
1455,VA
1456,OK
1457,CO
1458,IL
1459,PA
1460,IL
1461,TX
1462,AZ
1463,PA
1464,NC
1465,KY
1466,NC
1467,TX
1468,MI
1469,IL
1470,AZ
1471,IL
1472,WI
1473,OK
1474,PA
1475,CA
1476,CA
1477,CA
1478,TX
1479,TX
1480,MN
1481,NY
1482,TN
1483,CA
1484,CA
1485,PA
1486,TX
1487,OH
1488,TX
1489,FL
1490,CA
1491,TX
1492,TX
1493,CO
1494,CA
1495,NC
1496,NY
1497,AR
1498,OH
1499,PA
1500,TX
1501,OH
1502,PA
1503,FL
1504,NC
1505,NV
1506,MI
1507,FL
1508,NJ
1509,SC
1510,CA
1511,TX
1512,TX
1513,IL
1514,CA
1515,MN
1516,TX
1517,MN
1518,IN
1519,TN
1520,FL
1521,TX
1522,NV
1523,NC
1524,CO
1525,KY
1526,CO
1527,WV
1528,CA
1529,PA
1530,FL
1531,VT
1532,NY
1533,FL
1534,MO
1535,TX
1536,CA
1537,FL
1538,NV
1539,CA
1540,MA
1541,NV
1542,NY
1543,WA
1544,NY
1545,WI
1546,CA
1547,CA
1548,CA
1549,TX
1550,CA
1551,FL
1552,WI
1553,IL
1554,CA
1555,TX
1556,TX
1557,PA
1558,WA
1559,CA
1560,CA
1561,CA
1562,FL
1563,NY
1564,IL
1565,CA
1566,GA
1567,MI
1568,NY
1569,CA
1570,FL
1571,CO
1572,IN
1573,KY
1574,IL
1575,WI
1576,SC
1577,CA
1578,CO
1579,TX
1580,TX
1581,VA
1582,NJ
1583,CA
1584,MI
1585,TX
1586,AZ
